Symbol	Description
HMJI.TO	Betapro Marijuana Cos Inverse ETF
HMJU.TO	Betapro Marijuana Cos 2X Daily Bull ETF
HMM.A.TO	Hammond Manufacturing Co. Ltd Cl A. Sv
HMMJ.TO	Horizons Marijuana Life Sciences ETF
HMMJ.U.TO	Horizons Marijuana Life Sciences Idx USD
HMP.TO	Horizons Active CDN Municipal Bond ETF
HND.TO	Betapro Nat Gas 2X Daily Bear ETF
HNU.TO	Betapro Nat Gas 2X Daily Bull ETF
HOD.TO	Betapro Crude Oil 2X Daily Bear ETF
HOG.TO	Horizons CDN Midstream Oil Gas ETF
HOM.DB.U.TO	Bsr REIT 5.0 Pct Debs USD
HOM.U.TO	Bsr Real Estate Investment Trust
HOM.UN.TO	Bsr Real Estate Investment Trust
HOT.DB.U.TO	American Hotel Inc Prop REIT 5 Pct Debs
HOT.U.TO	American Hotel Income Properties REIT US
HOT.UN.TO	American Hotel Income Properties REIT LP
HOU.TO	Betapro Crude Oil 2X Daily Bull ETF
HPF.TO	Harvest Energy Leaders Plus Income ETF
HPF.U.TO	Harvest Energy Leaders Plus Income ETF USD
HPR.TO	Horizons Active Pref Share ETF
HPS.A.TO	Hammond Power Solutions Inc Cl A. Sv
HQD.TO	Betapro Nasdaq 100 2X Daily Bear ETF
HQD.U.TO	Betapro Nasdaq 100 2X Daily Bear ETF USD
HQU.TO	Betapro Nasdaq 100 2X Daily Bull ETF
HR.UN.TO	H&R Real Estate Inv Trust
HRAA.TO	Horizons Resolve Adptv Asset Alloc ETF
HRED.TO	Betapro Eql Wgt CDN REIT 2X Dly Bear ETF
HREU.TO	Betapro Eql Wgt CDN REIT 2X Dly Bull ETF
HRR.UN.TO	Australian REIT Income Fund
HRT.TO	Harte Gold Corp
HRX.TO	Heroux-Devtek
HSAV.TO	Horizons Cash Maximizer ETF
HSD.TO	Betapro Sp500 2X Daily Bear ETF
HSH.TO	Horizons Sp500 CAD Hedged Index ETF
HSL.TO	Horizons Active Float Rate Sen Loan ETF
HSU.TO	Betapro Sp500 2X Daily Bull ETF
HSUV.U.TO	Horizons USD Cash Maximizer ETF USD
HTA.TO	Harvest Tech Achievers Growth & Income ETF
HTA.B.TO	Harvest Tech Achievers Grwth Inc ETF Unh
HTA.U.TO	Harvest Tech Achievers Growth & Income ETF USD
HTB.TO	Horizons US 7 To 10 Yr Treasury Bond ETF
HTB.U.TO	Horizons US 7 To 10 Yr Treas Bd ETF USD
HUBL.TO	Harvest US Bank Leaders Income ETF
HUBL.U.TO	Harvest US Bank Leaders Income ETF USD
HUC.TO	Horizons Crude Oil ETF
HUF.TO	Horizons Active US Float Rate Bd ETF CAD
HUF.U.TO	Horizons Active US Floating Rate Bd ETF
HUG.TO	Horizons Gold ETF
HUL.TO	Harvest US Equity Plus Income ETF
HUL.U.TO	Harvest US Equity Plus Income ETF USD
HULC.TO	Horizons US Large Cap Index ETF
HUM.TO	Hamilton U.S. Mid/Small-Cap Financials E
HUM.U.TO	Hamilton US Mid Small Cap Fincls ETF USD
HUN.TO	Horizons Natural Gas ETF
HURA.TO	Horizons Global Uranium Index ETF
HUT.TO	Hut 8 Mining Corp
HUT.WT.TO	Hut 8 Mining Corp WT
HUT.WT.A.TO	Hut 8 Mining Corp WT A
HUTL.TO	Harvest Eql Wght Glb Util Income ETF
HUV.TO	Betapro Sp500 VIX ST Ftrs ETF
HUZ.TO	Horizons Silver ETF
HWF.TO	Middlefield Health Wellness ETF
HWO.TO	High Arctic Energy Services Inc
HWX.TO	Headwater Exploration Inc
HXCN.TO	Horizons SP TSX Capped Comp Index ETF
HXD.TO	Betapro S&P TSX 60 2X Daily Bear ETF
HXDM.TO	Horizons Intl Dev Mkts Equity Index ETF
HXDM.U.TO	Horizons Intl Dev Mkts Eqty Idx USD ETF
HXE.TO	Horizons S&P TSX Capped Energy Index ETF
HXEM.TO	Horizons Emerging Mkts Equity Index ETF
HXF.TO	Horizons S&P TSX Capped Fncl Index ETF
HXH.TO	Horizons CDN High Dividend Index ETF
HXQ.TO	Horizons Nasdaq 100 Index ETF
HXQ.U.TO	Horizons Nasdaq 100 Index ETF USD
HXS.TO	Horizons S&P 500 Index ETF
HXS.U.TO	Horizons S&P 500 Index ETF USD
HXT.TO	Horizons S&P Tsx60 Index ETF
HXT.U.TO	Horizons S&P TSX 60 Index ETF USD
HXU.TO	Betapro S&P TSX 60 2X Daily Bull ETF
HXX.TO	Horizons Euro Stoxx 50 Index ETF
HYBR.TO	Horizons Active Hybrd Bond Prf Share ETF
HYDR.TO	Horizons Global Hydrogen Index ETF
HYI.TO	Horizons Active High Yield Bond ETF
HZD.TO	Betapro Silver 2X Daily Bear ETF
HZM.TO	Horizonte Minerals Plc
HZU.TO	Betapro Silver 2X Daily Bull ETF
IAF.PR.B.TO	Industrial Alliance Cl A Pref Ser B
IAF.PR.G.TO	Industrial Alliance Cl A Pref Ser G
IAF.PR.I.TO	Industrial Alliance Cl A Pref Ser I
IAG.TO	IA Financial Corp Inc
IAU.TO	I-80 Gold Corp
IBG.TO	Ibi Group Inc
IBG.DB.E.TO	Ibi Group Inc 6.50% Listed Senior
ICE.TO	Canlan ICE Sports Corp
ICPB.TO	IA Clarington Core Plus Bond Fund
IDG.TO	Indigo Books & Music Inc
IDR.TO	Middlefield REIT Indexplus ETF
IFA.TO	Ifabric Corp
IFC.TO	Intact Financial Corp
IFC.PR.A.TO	Intact Financial Corp Pref Cl A
IFC.PR.C.TO	Intact Financial Corp Pref Cl A
IFC.PR.E.TO	Intact Financial Corp Pref Cl A Ser 5
IFC.PR.F.TO	Intact Financial Corp Pref Shares Ser 6
IFC.PR.G.TO	Intact Financial Corp Pref Shares Ser 7
IFC.PR.I.TO	Intact Financial Corp Pref Shares Ser 9
IFP.TO	Interfor Corp
IFRF.TO	IA Clarington Floating Rate Income ETF
IGAF.TO	IA Clarington Global Allocation Fund ETF
IGB.TO	Purpose Mngd Duration Invest Bond ETF
IGCF.TO	Pimco Investment Grade Credit Fund
IGM.TO	Igm Financial Inc
IGX.TO	Intelgenx Technologies Corp
IGX.DB.TO	Intelgenx Technologies Corp 8.0 Pct Debs
IGX.WT.TO	Intelgenx Technologies Corp Wts
III.TO	Imperial Metals Corp
IIP.UN.TO	Interrent Real Estate Investment Trust
ILGB.TO	IA Clarington Loomis Global Multisector Bond Fun
ILV.TO	Invesco SP Intl Dev Low Vol Idx ETF
ILV.F.TO	Invesco SP Intl Dev Low Vol ETF Hedged
IMG.TO	Iamgold Corp
IMO.TO	Imperial Oil
IMP.TO	Intermap Tech Corp
IMV.TO	Imv Inc
INC.UN.TO	Income Fin Un
INCR.U.TO	Intercure Ltd
INE.TO	Innergex Renewable Energy Inc
INE.DB.B.TO	Innergex Renewable Energy 4.75 Pct Debs
INE.DB.C.TO	Innergex Renewable Energy 4.65 Pct Debs
INE.PR.A.TO	Innergex Renewable Energy Pref Ser A
INE.PR.C.TO	Innergex Renewable Energy Inc Pref Ser C
INF.UN.TO	Sustainable Infrastructure Div Fund
INO.UN.TO	Inovalis REIT
INOC.TO	Horizons Inovestor CDN Equity Index ETF
INQ.TO	Inscape Corp Sv
IPCI.TO	Intellipharmaceutics International Inc
IPCO.TO	International Petroleum Corp
IPL.TO	Inter Pipeline Ltd
IPO.TO	Inplay Oil Corp
IPO.R.TO	Inplay Oil Corp
IQD.TO	CI Wisdomtree Intl Qlty Divd Growth Index ETF
IQD.B.TO	CI Wisdomtree Intl Qlty Divd Growth Index ETF
ISIF.TO	IA Claringtion Strategic Income Fund ETF
ISV.TO	Information Services Corp
ITE.TO	I3 Energy Plc
ITH.TO	International Tower Hill Mines Ltd
ITP.TO	Intertape Polymer
IVN.TO	Ivanhoe Mines Ltd
IVQ.TO	Invesque Inc CAD
IVQ.DB.U.TO	Invesque Inc 5.00 Pct Debs
IVQ.DB.V.TO	Invesque Inc 6.00 Pct Debs USD
IVQ.U.TO	Invesque Inc
JAG.TO	Jaguar Mining Inc
JAPN.TO	CI Wisdomtree Japan Equity Index ETF
JAPN.B.TO	CI Wisdomtree Japan Equity Index ETF
JFS.UN.TO	Jft Strategies Fund
JOSE.TO	Josemaria Resources Inc
JOY.TO	Journey Energy Inc
JWEL.TO	Jamieson Wellness Inc
K.TO	Kinross Gold Corp
KBL.TO	Kbro Linen Inc
KEG.UN.TO	Keg Royalties Income Fund
KEI.TO	Kolibri Global Energy Inc
KEL.TO	Kelt Exploration Ltd
KEY.TO	Keyera Corp
KILO.TO	Purp Gold Bullion Tu
KILO.B.TO	Purpose Gold Bullion Fund Non Hedged
KILO.U.TO	Purpose Gold Bullion Fund Non Hedged USD
KITS.TO	Kits Eyecare Ltd
KL.TO	Kirkland Lake Gold Ltd
KLS.TO	Kelso Technologies Inc
KMP.UN.TO	Killam Apartment REIT
KNT.TO	K92 Mining Inc
KOR.TO	Corvus Gold Inc
KPT.TO	Kp Tissue Inc
KRN.TO	Karnalyte Resources Inc
KRR.TO	Karora Resources Inc
KXS.TO	Kinaxis Inc
L.TO	Loblaw CO
L.PR.B.TO	Loblaw Companies Ltd 2nd Pref Ser B
LABS.TO	Medipharm Labs Corp
LABS.WT.TO	Medipharm Labs Corp WT
LAC.TO	Lithium Americas Corp
LAM.TO	Laramide Resources Ltd
LAS.A.TO	Lassonde Industries Inc Cl A Sv
LB.TO	Laurentian Bank
LB.PR.H.TO	Laurentian Bank of Cda Pr Ser 13
LBS.TO	Life & Banc Split Corp
LBS.PR.A.TO	Life & Banc Split Corp
LCFS.TO	Tidewater Renewables Ltd
LCS.TO	Brompton Lifeco Split Corp Class A
LCS.PR.A.TO	Brompton Lifeco Split Corp Pref Shares
LEAD.TO	Evolve Future Leadership ETF Hedged
LEAD.B.TO	Evolve Future Leadership ETF Unhedged
LEAD.U.TO	Evolve Future Leadership ETF Uh USD
LEAF.TO	Leaf Mobile Inc
LEV.TO	Lion Electric CO [The]
LEV.WT.TO	The Lion Electric Company WT
LFE.TO	Canadian Life Companies Split Corp
LFE.PR.B.TO	Canadian Life Split 2012 Pref Sh
LGD.TO	Liberty Gold Corp
LGO.TO	Largo Resources Ltd
LGT.A.TO	Logistec Corp Cl A Mv
LGT.B.TO	Logistec Corp Cl B Sv
LIF.TO	Labrador Iron Ore Royalty Corp
LIFE.TO	Evolve Global Healthcare Enhance Yld ETF
LIFE.B.TO	Evolve Global Healthcare Enhance Yld Unheg
LIFE.U.TO	Evolve Global Healthcare Yld Fund ETF USD
LN.TO	Loncor Gold Inc
LNF.TO	Leons Furniture
LNR.TO	Linamar Corp
LOCL.TO	Freshlocal Solutions Inc
LONG.TO	CI Global Longevity Economy Fund ETF
LPEN.TO	Loop Energy Inc
LS.TO	Middlefield Healthcare Life Sciences ETF
LSPD.TO	Lightspeed Pos Inc
LSPK.TO	Lifespeak Inc
LUC.TO	Lucara Diamond Corp
LUG.TO	Lundin Gold Inc
LUN.TO	Lundin Mining Corp
LWRK.TO	Lifeworks Inc
LXR.TO	Lxrandco Inc
MAG.TO	MAG Silver Corp
MAGT.TO	Magnet Forensics Inc
MAL.TO	Magellan Aero
MARI.TO	Marimaca Copper Corp
MAV.TO	Mav Beauty Brands Inc
MAW.TO	Mawson Resources Ltd
MAXR.TO	Maxar Technologies Inc
MBA.TO	Cibt Education Group Inc
MBAL.TO	Mackenzie Balanced Allocation ETF
MBCN.TO	Mindbeacon Holdings Inc
MBN.TO	Mbn Corp
MBX.TO	Microbix J
MCB.TO	Mccoy Global Inc
MCLC.TO	Manulife Mltfactor CDN Large Cap Uh ETF
MCON.TO	Mackenzie Conservative Allocation CAD ETF
MCSB.TO	Mackenzie CDN Short Term Fixed Inc ETF
MCSM.TO	Manulife Mulfact CDN Smid Cap Idx ETF
MDA.TO	Mda Ltd
MDC.UN.TO	Digital Consumer Dividend Fund
MDF.TO	Mdf Commerce Inc
MDI.TO	Major Drilling Grp
MDNA.TO	Medicenna Therapeutics Corp
MDP.TO	Medexus Pharmaceuticals Inc
MDP.DB.TO	Medexus Pharmaceuticals Inc 6.0 Pct Debs
MDP.WT.TO	Medexus Pharmaceuticals Inc WT
MDS.UN.TO	Healthcare Special Opp Fund
MDVD.TO	Mackenzie Global Sustainable Div Idx ETF
MDVD.U.TO	Mackenzie Glb Sustainable Div Idx US ETF
ME.TO	Moneta Gold Inc
MEE.TO	Mackenzie Max Diverse Emg Mkts ETF
MEG.TO	Meg Energy Corp
MEME.B.TO	Manulife Multifactor Emerg Mkts Idx ETF
MEQ.TO	Mainstreet Eq J
MEU.TO	Mackenzie Max Diversif Dev EUR ETF
MFC.TO	Manulife Fin
MFC.PR.B.TO	Manulife Financial Cl A Pref Ser 2
MFC.PR.C.TO	Manulife Financial Cl A Pref Ser 3
MFC.PR.F.TO	Manulife Financial Cl 1 Sh Ser 3
MFC.PR.G.TO	Manulife Financial Non Cum Cla 1 Ser 5
MFC.PR.H.TO	Manulife Financial Pref Ser 7
MFC.PR.I.TO	Manulife Financial Pref Ser 9
MFC.PR.J.TO	Manulife Financial Class 1 Ser 11
MFC.PR.K.TO	Manulife Financial Pref Ser 13
MFC.PR.L.TO	Manulife Financial Pref Ser 15
MFC.PR.M.TO	Manulife Financial Pref Ser 17
MFC.PR.N.TO	Manulife Financial Pref Ser 19
MFC.PR.P.TO	Manulife Financial Class 1 Sh Ser 4
MFC.PR.Q.TO	Manulife Financial Corp Pref Series 25
MFC.PR.R.TO	Manulife Financial Pref Ser 23
MFI.TO	Maple Leaf Foods
MFT.TO	Mackenzie Floating Rate Income ETF
MG.TO	Magna International Inc
MGA.TO	Mega Uranium Ltd
MGAB.TO	Mackenzie Global Fixed Income Alloc ETF
MGB.TO	Mackenzie Core Pls Glob Fixed Inc ETF
MGRW.TO	Mackenzie Growth Allocation ETF
MHC.U.TO	Flagship Communities Real Estate Investm
MI.UN.TO	Minto Apartment REIT
MIC.PR.A.TO	Sagen MI Canada Inc
MID.UN.TO	Mint Income Fund
MIN.TO	Excelsior Mining Corp
MIN.WT.TO	Excelsior Mining Corp WT
MIND.TO	Horizons Active Ai Global Equity ETF
MINT.TO	Manulife Mltfactor Dev Intl Hgd ETF
MINT.B.TO	Manulife Mltfactor Dev Intl Uh ETF
MIVG.TO	Mackenzie Ivy Global Equity ETF
MKB.TO	Mackenzie Core Pls CDN Fixed Income ETF
MKC.TO	Mackenzie Max Dvrs Cda Index ETF
MKP.TO	Mcan Mortgage Corp
MKZ.UN.TO	Mackenzie Mstr Un
MMP.UN.TO	Precious Metals and Mining Trust
MMX.TO	Maverix Metals Inc
MND.TO	Mandalay Resources Corp
MNS.TO	Royal CDN Mint CDN Silver Reserves Etr
MNS.U.TO	Royal CDN Mint CDN Svr Reserves Etr USD
MNT.TO	Royal Canadian Mint CDN Gold Reserves
MNT.U.TO	Royal Canadian Mint CDN Gld Reserves USD
MOGO.TO	Mogo Inc
MOGO.WT.TO	Mogo Inc WT
MOZ.TO	Marathon Gold Corp
MPC.TO	Madison Pac Cl B
MPC.C.TO	Madison Pacific Properties Inc Cl C NV
MPCF.TO	Mackenzie Portfolio Completion ETF
MPCT.UN.TO	Dream Impact Trust Units
MPVD.TO	Mountain Province Diamonds Inc
MR.DB.A.TO	Melcor REIT 5.25 Pct Debs
MR.DB.B.TO	Melcor REIT 5.1 Pct Debs
MR.UN.TO	Melcor REIT
MRC.TO	Morguard Corp
MRD.TO	Melcor Dev
MRE.TO	Martinrea International Inc
MRG.DB.A.TO	Morguard Na REIT 4.50 Pct Debs
MRG.UN.TO	Morguard Na Residential REIT Units
MRT.DB.TO	Morguard REIT 4.50 Pct Debs
MRT.UN.TO	Morguard Un
MRU.TO	Metro Inc
MRV.TO	Nuvo Pharmaceuticals Inc
MSV.TO	Minco Silver Corp
MTL.TO	Mullen Group Ltd
MTL.DB.TO	Mullen Group Ltd 5.75 Pct Debs
MTY.TO	Mty Food Group Inc
MUB.TO	Mackenzie Unconstrained Bond ETF
MULC.TO	Manulife Mltfactor US Large Cap Hgd ETF
MULC.B.TO	Manulife Mltfactor US Large Cap Uh ETF
MUMC.TO	Manulife Mltfactor US Mid Cap Hgd ETF
MUMC.B.TO	Manulife Mltfactor US Mid Cap Uh ETF
MUS.TO	Mackenzie Max Dvrs US Index ETF
MUSC.TO	Manulife Multifactor U.S. Small Cap Index ETF
MUSC.B.TO	Manulife Mulfact US Scap Idx ETF Unheg
MUX.TO	Mcewen Mining Inc
MVP.TO	Mediavalet Inc
MWD.TO	Mackenzie Max Diversif World Dev ETF
MX.TO	Methanex Corp
MXG.TO	Maxim Power Corp
MXU.TO	Mackenzie Max Divers Wrld Dev Ex Na ETF
NA.TO	National Bank of Canada
NA.PR.C.TO	National Bank Pref Ser 38
NA.PR.E.TO	National Bank Pref Series 40
NA.PR.G.TO	National Bank Pref Series 42
NA.PR.S.TO	National Bank Pref Ser 30
NA.PR.W.TO	National Bank Pref Ser 32
NALT.TO	Nbi Liquid Alternatives ETF
NANO.TO	Nano One Materials Corp
NB.TO	Niocorp Developments Ltd
NBLY.TO	Neighbourly Pharmacy Inc
NCF.TO	Northcliff Resources Ltd
NCG.TO	Ncm Core Global ETF
NCM.TO	Newcrest Mining Ltd
NCP.TO	Nickel Creek Platinum Corp
NCU.TO	Nevada Copper Corp
NCU.WT.TO	Nevada Copper Corp
NCU.WT.A.TO	Nevada Copper Corp WT A
NDIV.TO	Nbi Canadian Dividend Income ETF
NDM.TO	Northern Dynasty Minerals Ltd
NEO.TO	NEO Performance Materials Inc
NEPT.TO	Neptune Wellness Solutions Inc
NEXA.TO	Nexa Resources S.A.
NEXT.TO	Nextsource Materials Inc
NFAM.TO	Nbi Canadian Family Business ETF
NFI.TO	New Flyer Industries Inc
NG.TO	Novagold Res Inc
NGD.TO	New Gold Inc
NGPE.TO	Nbi Global Private Equity ETF
NGT.TO	Newmont Corp
NHF.UN.TO	Northview CDN High Yld Residential Fund
NHK.TO	Nighthawk Gold Corp
NHYB.TO	Nbi High Yield Bond ETF
NIF.UN.TO	Noranda Income Fund
NINT.TO	Nbi Active International Equity ETF
NOA.TO	North American Construction Group Ltd
NOA.DB.A.TO	Na Construction Grp Ltd 500% Conv. Unsec. Sub DE
NOA.DB.B.TO	North American Construc Grp 5.5 Pct Debs
NOVB.F.TO	FT CBOE Vest US Eqty Buffer November ETF
NOVC.TO	Nova Cannabis Inc
NPF.U.TO	Nextpoint Financial Inc
NPF.WT.U.TO	Nextpoint Financial Inc WT
NPI.TO	Northland Power Inc
NPI.PR.A.TO	Northland Power Pref Equity Inc
NPI.PR.B.TO	Northland Power Inc Pref Ser 2
NPI.PR.C.TO	Northland Power Inc Pref Ser 3
NPK.TO	Verde Agritech Plc
NPRF.TO	Nbi Active Canadian Preferred Sh ETF
NREA.TO	Nbi Global Real Assets Income ETF
NSCB.TO	Nbi Sustainable Canadian Bond ETF
NSCC.TO	Nbi Sustainable CDN Corporate Bond ETF
NSCE.TO	Nbi Sustainable Canadian Equity ETF
NSGE.TO	Nbi Sustainable Global Equity ETF
NSR.TO	Nomad Royalty Company Ltd
NSR.WT.TO	Nomad Royalty Company Ltd WT
NTR.TO	Nutrien Ltd
NUAG.TO	New Pacific Metals Corp
NUBF.TO	Nbi Unconstrained Fixed Income ETF
NUSA.TO	Nbi Active US Equity ETF
NVA.TO	Nuvista Energy Ltd
NVCN.TO	Neovasc Inc
NVEI.TO	Nuvei Corp
NVEI.U.TO	Nuvei Corp USD
NVO.TO	Novo Resources Corp
NVO.WT.TO	Novo Resources Corp WT
NVO.WT.A.TO	Novo Resources Corp WT A
NWC.TO	The North West Company Inc
NWH.DB.F.TO	Northwest Healthcare Prop 5.25 Pct Debs
NWH.DB.G.TO	Northwest Healthcare Prop REIT 5.50 Debs
NWH.UN.TO	Northwest Healthcare Prop REIT
NXE.TO	Nexgen Energy Ltd
NXF.TO	CI First Asset Energy Giants Cov Call ETF
NXF.B.TO	CI First Asset Energy Giants ETF Unhedged
NXJ.TO	Nexj Systems Inc
NXR.UN.TO	Nexus Real Estate Investment Trust
NXTG.TO	First Trust Indxx Nextg ETF
NZC.TO	Norzinc Ltd
OBE.TO	Obsidian Energy Ltd
OGC.TO	Oceanagold Corp
OGD.TO	Orbit Garant Drilling Inc
OGI.TO	Organigram Holdings Inc
OLA.TO	Orla Mining Ltd
OLY.TO	Olympia Financial Group Inc
OMI.TO	Orosur Mining Inc
ONC.TO	Oncolytics Bio
ONC.WT.TO	Oncolytics Biotech Inc WT
ONEB.TO	CI One North American Core Plus Bond ETF
ONEC.TO	Accelerate Onechoice Altnv Portfolio ETF
ONEQ.TO	CI One Global Equity ETF
ONEX.TO	Onex Corp
OPS.TO	Opsens Inc
OPT.TO	Optiva Inc
OR.TO	Osisko Gold Royalties Ltd
OR.DB.TO	Osisko Gold Royalties Ltd 4.00 Pct Debs
OR.WT.TO	Osisko Gold Royalties Ltd WT
ORA.TO	Aura Minerals Inc
ORBT.TO	Harvest Space Innovation Index ETF - Cla
OREA.TO	Orea Mining Corp
ORL.TO	Orocobre Ltd
ORV.TO	Orvana Minerals J
OSK.TO	Osisko Mining Inc
OSP.TO	Brompton Oil Split Corp
OSP.PR.A.TO	Brompton Oil Split Corp Pref
OTEX.TO	Open Text Corp
OVV.TO	Ovintiv Inc
PAAS.TO	Pan American Silver Corp
PAT.TO	Patriot One Technologies Inc
PAY.TO	Payfare Inc
PAYF.TO	Purpose Enhanced Premium Yield Fund ETF
PBD.TO	Purpose Total Return Bond Fund ETF
PBH.TO	Premium Brands Holdings Corp
PBH.DB.F.TO	Premium Brands Hld Corp 4.60 Pct Debs
PBH.DB.G.TO	Premium Brands Holdings 4.65 Pct Debs
PBH.DB.H.TO	Premium Brands Holdings 4.20 Pct Debs
PBI.TO	Purpose Best Ideas Fund ETF
PBI.B.TO	Purpose Best Ideas Fund Non Hdg
PBL.TO	Pollard Banknote Ltd
PBY.UN.TO	Canso Credit Income Fund Units
PCON.TO	Pimco Managed Conservative Bond Pool ETF
PCOR.TO	Pimco Managed Core Bond Pool ETF
PD.TO	Precision Drilling Corp
PDC.TO	Invesco CDN Div Idx ETF
PDF.TO	Purpose Core Dividend Fund ETF
PDIV.TO	Purpose Enhanced Dividend Fund ETF
PDV.TO	Prime Dividend Corp Cl A
PDV.PR.A.TO	Prime Dividend Corp Pref
PEA.TO	Pieridae Energy Ltd
PET.TO	Pet Valu Holdings Ltd
PEY.TO	Peyto Exploration and Dvlpmnt Corp
PFAE.TO	Picton Mahoney Fort Act Ext Alt Fund ETF
PFB.TO	Pfb Corp
PFH.F.TO	Invesco HY Corp Bond Index ETF
PFIA.TO	Picton Mahoney Fort Income Alt Fund ETF
PFL.TO	Powershares 1 To 3 Yr Lad Float Rate ETF
PFLS.TO	Picton Mahoney Frt Lng Shrt Alt Fund ETF
PFMN.TO	Picton Mahoney Fort Mkt Neutral Fund ETF
PFMS.TO	Picton Mahoney Multi Strat Alt Fund ETF
PFSS.TO	Picton Mahoney Fort Special Sit Alt Fund
PGI.UN.TO	Pimco Global Inc Opportunities Fund
PHE.TO	Purpose Tactical Hedged Equity Fund ETF
PHR.TO	Purpose Duration Hedged Real Estate ETF
PHW.TO	Purpose Intl Tactical Hedged Equity ETF
PHX.TO	Phx Energy Services Corp
PHYS.TO	Sprott Physical Gold Trust CAD
PHYS.U.TO	Sprott Physical Gold Trust USD
PIC.A.TO	Premium Income A
PIC.PR.A.TO	Premium Income Pr
PID.TO	Purpose Intl Dividend Fund ETF
PIF.TO	Polaris Infrastructure Inc
PIF.DB.TO	Polaris Infrastructure 7.0 Pct Debs
PIN.TO	Purpose Monthly Income Fund ETF
PINC.TO	Purpose Multi Asset Income Fund
PINV.TO	Purpose Global Innovators Fund
PIPE.TO	Pipestone Energy Corp
PKI.TO	Parkland Fuel Corp
PLC.TO	Park Lawn Corp
PLC.DB.TO	Park Lawn Corp 5.75 Pct Debs
PLDI.TO	Pimco Low Duration Monthly Inc ETF
PLV.TO	Invesco Low Vol Portfolio ETF
PLZ.DB.E.TO	Plaza Retail REIT 5.10 Pct Debs
PLZ.UN.TO	Plaza Retail REIT
PMB.UN.TO	Picton Mahoney Tactical Income Fund
PME.TO	Sentry Select Primary Metals Corp
PMIF.TO	Pimco Monthly Income Fund
PMIF.U.TO	Pimco Monthly Income Fund
PMM.TO	Purpose Multi Strategy Mkt Neutral Fund
PMN.TO	Promis Neurosciences Inc
PMNT.TO	Pimco Global Short Maturity Fund ETF
PMT.TO	Perpetual Energy Inc
PNC.A.TO	Postmedia Network Canada Corp Cl A
PNC.B.TO	Postmedia Network Canada Corp Cl B
PNE.TO	Pine Cliff Energy Ltd
PNP.TO	Pinetree Capital Ltd
POM.TO	Polymet Mining Corp
POU.TO	Paramount Resources Ltd
POW.TO	Power Corp of Canada Sv
POW.PR.A.TO	Power Corp A Pr
POW.PR.B.TO	Power Corp Pref Shares Series B
POW.PR.C.TO	Power Corp of Canada 5.80%
POW.PR.D.TO	Power Corp Non-Cum 1st Pfd Shs Ser D
POW.PR.F.TO	Power Corp 1st Pr
POW.PR.G.TO	Power Corp of Canada 5.60 Pct Pref Ser G
PPL.TO	Pembina Pipeline Corp
PPL.PF.A.TO	Pembina Pipeline Corp Pref Ser 21
PPL.PF.C.TO	Pembina Pipeline Corp Pref Series 23
PPL.PF.E.TO	Pembina Pipeline Corp Pref Series 25
PPL.PR.A.TO	Pembina Pipeline Corp Pref Class A
PPL.PR.C.TO	Pembina Pipeline Corp Pref Ser 3
PPL.PR.E.TO	Pembina Pipeline Corp Pref Ser 5
PPL.PR.G.TO	Pembina Pipeline Corp Pref Ser 7
PPL.PR.I.TO	Pembina Pipeline Corp Pref Ser 9
PPL.PR.O.TO	Pembina Pipeline Corp Pref Series 15
PPL.PR.Q.TO	Pembina Pipeline Corp Pref Series 17
PPL.PR.S.TO	Pembina Pipeline Corp Pref Series 19
PPR.TO	Prairie Provident Resources Inc
PPS.TO	Invesco CDN Pref Share Idx ETF
PPTA.TO	Perpetua Resources Corp
PR.TO	Lysander Slater Pref Share Activ ETF
PRA.TO	Purpose Diversified Real Asset Fund ETF
PREF.TO	Evolve Dvdnd Stblt Prf Sh Indx E
PRL.TO	Propel Holdings Inc
PRM.TO	Big Pharma Split Corp
PRM.PR.A.TO	Big Pharma Split Corp Pref Shares
PRMW.TO	Primo Water Corp
PRN.TO	Profound Medical Corp
PRP.TO	Purpose Conservative Income Fund ETF
PRQ.TO	Petrus Resources Ltd
PRU.TO	Perseus Mining Ltd
PRV.UN.TO	Pro Real Estate Investment Trust
PSA.TO	Purpose High Interest Savings ETF
PSB.TO	Invesco 1 To 5 Yrladder Inv Grd Bd ETF
PSD.TO	Pulse Seismic Inc
PSI.TO	Pason Systems Inc
PSK.TO	Prairiesky Royalty Ltd
PSLV.TO	Sprott Physical Silver Trust CAD
PSLV.U.TO	Sprott Physical Silver Trust USD
PSU.U.TO	Purpose US Cash ETF
PSY.TO	Pwrshr Glb Sharehldr Yield ETF
PSY.U.TO	Invesco Glb Sharehldr Yield USD
PTI.UN.TO	Pimco Tactical Income Fund
PTM.TO	Platinum Group Metals Ltd
PTO.UN.TO	Pimco Tactical Income Opportunites Fund
PTS.TO	Points International Ltd
PUD.TO	Purpose US Dividend Fund ETF
PUD.B.TO	Purpose US Dividend Fund ETF NC Hedged
PVG.TO	Pretium Resources Inc
PVS.PR.F.TO	Partners Value Split Corp Pref Ser 8
PVS.PR.G.TO	Partners Value Split Corp
PVS.PR.H.TO	Partners Value Split Corp Pref Ser 10
PVS.PR.I.TO	Partners Value Split Corp Pref Series 11
PVS.PR.J.TO	Partners Value Split Corp
PWF.PF.A.TO	Power Financial Corporation
PWF.PR.A.TO	Power Fin Ser A Pr
PWF.PR.E.TO	Power Fin Ser D Pr
