ticker,mean_volume,median_volum
EIF.DB.J.TO,128144.59638554217,61000.0
MAG.TO,127293.94952819837,89600.0
SIA.TO,126720.18390804598,103381.0
AEZS.TO,126494.7002967359,62148.0
ITP.TO,126331.99318231801,65943.0
TGOD.WT.TO,124936.00980392157,63663.5
TIH.TO,124792.21242045205,89272.0
CSM.TO,123840.59733606558,44793.0
CGT.TO,123771.11772315654,66820.0
WRN.TO,123570.77570674122,61690.0
GSY.DB.TO,123267.89838337182,51000.0
ABT.TO,123171.62688366485,60750.0
SVB.TO,122004.45028046914,25200.0
BLX.DB.A.TO,121182.86334056398,43000.0
NEPT.TO,119554.87980769231,41349.5
RBA.TO,119548.97515199576,83400.0
NVU.UN.TO,119344.55917874396,94597.5
ZSP.TO,118767.86305732484,46650.5
ZZZ.TO,117821.50165745856,72025.0
GXO.TO,116959.30720338984,81292.0
INE.TO,116476.91010427904,81551.0
CDH.TO,116355.11596899225,56500.0
STLC.TO,116221.13149847095,86744.0
WN.TO,115845.27358490566,92025.5
LAC.TO,115801.05910290238,26784.0
ORV.TO,115461.15160796324,61617.0
TD.PF.L.TO,114575.47368421052,57385.0
BXE.TO,114177.33113890718,58542.0
TI.TO,113742.51775147929,33275.0
NCP.TO,113560.98932384342,55255.0
ZWB.TO,113251.06736526947,93512.5
CSU.DB.TO,112480.80074836296,17000.0
BDI.TO,112285.59367945824,61400.0
OSB.TO,112060.84613236526,50560.0
PBH.DB.E.TO,111541.25,30000.0
AAB.TO,110727.90667257814,21422.0
TEV.TO,110106.43537414966,16862.0
MRG.DB.A.TO,109383.72093023256,41000.0
AKU.U.TO,108850.86319218241,26800.0
CHE.DB.B.TO,108747.95088907705,42000.0
ENGH.TO,107423.772845953,40050.0
BEI.UN.TO,106908.3084686266,77500.0
CIC.TO,106161.72323182711,30490.5
NUS.TO,105543.93349376504,40700.0
NB.TO,104273.24147843942,63800.0
DII.DB.U.TO,104255.30232558139,21000.0
CRR.UN.TO,104215.97500771367,71010.0
CHH.TO,104135.91352785146,25000.0
EDV.TO,104059.88319458897,32225.0
NMX.WT.TO,103667.07132018209,50000.0
CLIQ.TO,103577.80612244898,74227.0
CCM.TO,102848.60253558718,37415.0
WRX.TO,102362.12739025048,29000.0
AUG.TO,101888.86896551723,77681.0
XBB.TO,101560.5435520362,73100.0
NWH.UN.TO,101511.35504014273,68398.0
EFL.TO,101253.581938326,30500.0
CM.PR.T.TO,101128.21739130435,78608.0
ASND.TO,101083.61,40750.0
DRM.TO,101068.78571428571,46130.5
AP.UN.TO,101019.99228855722,74917.0
INE.DB.A.TO,100874.07536557931,27000.0
YPG.DB.TO,100719.73255813954,5214.5
KWH.UN.TO,100220.09587301587,56672.0
ETG.TO,99848.47602845654,54100.0
XCB.TO,99796.32974910394,53316.0
BAD.TO,99432.76855318212,51900.0
HBU.TO,99134.24577793748,30306.0
TNX.TO,98983.63885057472,62438.5
SRX.TO,98917.38526912182,33400.0
SBR.TO,98811.42273534636,28500.0
LB.TO,98749.34877085162,69645.0
HIX.TO,98365.70207667732,36400.0
WPK.TO,97045.12946625496,16497.5
CHE.UN.TO,96670.53066304594,58913.0
MAX.TO,96392.34270650263,36742.0
GSC.TO,96382.9824484423,50751.0
RVX.TO,96304.99010460843,41264.0
CFX.TO,96185.45263827081,58886.5
TS.B.TO,95895.59842001316,48700.0
SMU.UN.TO,94702.08306911858,49339.0
FRII.TO,94669.16216216216,41575.5
HEU.TO,94333.27337883959,30816.5
TXP.TO,93476.20735785953,40317.0
XTR.TO,93256.94672754947,64600.0
BBD.A.TO,93079.11254936375,57100.0
PPR.TO,92395.21440261866,61801.0
CMG.TO,92177.97520876827,50017.5
S.WT.TO,92172.9040590406,13000.0
CBO.TO,91169.66374501992,74434.0
CPD.TO,90798.71769050017,67597.0
HOT.UN.TO,90761.47308520455,48800.0
DCM.TO,90082.57299670692,23652.0
NZC.TO,90058.25438596492,80158.0
GRT.UN.TO,89796.2974025974,68938.5
FIE.TO,89536.82308037719,69899.0
CGL.TO,89519.94327824922,52600.0
EIF.DB.H.TO,88757.70925110132,34000.0
MSI.DB.A.TO,88544.32624113475,33500.0
PTG.TO,88430.73076923077,62540.0
AFN.DB.D.TO,88036.95652173914,25000.0
CET.TO,87571.59039052216,44620.5
NWH.DB.E.TO,87075.0,17500.0
AD.TO,86778.71966359632,59388.0
EGL.TO,86686.78803641093,59405.0
ATP.DB.D.TO,85874.48038585209,33000.0
AXR.TO,85872.82779640354,56883.0
BNC.TO,85272.11610853093,26300.0
NGQ.TO,84999.72825368862,27100.0
AQA.TO,84815.62068160597,26350.0
ENT.TO,84364.63874788494,23875.0
DLR.TO,83813.97824987354,59470.0
NIF.UN.TO,83578.12559241705,49400.0
ERD.TO,83512.43670115642,31500.0
DIV.DB.TO,83230.76923076923,15000.0
OMI.TO,83129.54497354498,20000.0
ACI.TO,82614.65060240965,39784.0
UFS.TO,82262.30772617213,50467.0
ETX.TO,82222.02588235294,16500.0
KEL.DB.TO,81883.68794326241,0.0
ACQ.TO,81824.47876327296,39199.0
XIN.TO,81252.41363532373,50500.0
CBL.TO,81194.39126853377,38815.0
XAU.TO,80200.72291780077,45777.0
BBU.UN.TO,79728.74198250729,49154.0
SHLE.TO,79398.38329764454,40600.0
MQR.TO,79155.73529411765,52762.5
TLO.TO,78830.16542750929,25000.0
TF.TO,78096.0574018127,65691.5
TML.TO,78087.8247734139,48065.5
VGRO.TO,77714.73308270676,70649.5
ALC.DB.A.TO,76680.95238095238,23000.0
DFE.TO,75804.06290531777,25400.0
URB.A.TO,75375.33947368422,36541.5
DR.TO,75005.1706185567,52151.0
PSD.TO,74829.39708939708,33007.0
NCU.TO,73270.40158172233,24817.5
CLIQ.DB.TO,73215.78947368421,38500.0
XSB.TO,72830.0769738289,51000.0
KXS.TO,72314.38103302286,55581.0
IRON.TO,72225.32854864433,24000.0
MI.UN.TO,72111.27777777778,34998.0
NWH.DB.F.TO,72084.90145985401,25000.0
HQU.TO,71924.5697240865,35431.0
VNP.DB.TO,71875.58297872341,15000.0
HOT.DB.U.TO,71603.28638497653,31500.0
ESM.TO,71389.38861788617,39935.0
EXN.TO,71157.51996489688,39960.0
TMI.TO,70751.64297253636,40000.0
CCA.TO,70660.9791529515,47600.0
CM.PR.R.TO,70489.43418013857,21300.0
CJ.DB.TO,70371.35453474676,9000.0
XDV.TO,70122.39793438639,54655.5
SOT.UN.TO,69825.07955182073,29407.0
MPVD.TO,69536.59648142976,36300.0
ESP.TO,69427.408045977,12600.0
OLA.TO,69330.79487179487,33736.5
KOR.TO,69292.16159250586,39400.0
SMC.TO,68863.08165057068,19913.0
MAV.TO,68559.43949044586,17000.0
III.TO,67642.99758613123,35870.0
XMA.TO,67298.82472660996,40200.0
JWEL.TO,67242.46210268949,42537.0
BDT.TO,67053.17966830467,39102.5
BTB.UN.TO,66466.75059382422,50406.0
BLX.TO,66307.60552874068,27362.5
CWX.TO,66210.4284057971,28150.0
VFF.TO,66178.62797125484,8000.0
WPRT.TO,66081.29298831386,39814.5
TOY.TO,65945.82458100558,43523.0
MSI.TO,65885.1806010116,39498.0
TD.PF.H.TO,65868.4376012966,16492.0
PTM.WT.U.TO,65300.51794871795,0.0
DRA.UN.TO,65114.57831325301,44583.0
FSV.TO,63775.57437472576,37614.0
HPR.TO,63501.54391217565,38575.5
DXI.TO,63263.75,19054.0
GS.TO,63134.58135168961,33959.5
FIH.U.TO,62398.294117647056,33283.0
PLZ.UN.TO,62251.28826728827,41352.0
NKO.NT.TO,62221.83653846154,0.0
AZZ.TO,61857.26432532348,8020.0
Y.TO,61843.61950904393,29582.5
IPO.TO,61558.74520069808,29655.0
SRHI.WT.TO,61350.282907662084,11000.0
ZAG.TO,61195.61896322552,26080.0
RAY.A.TO,60726.34973262032,21832.0
GCL.TO,60715.740426775796,31618.0
SOX.DB.A.TO,60313.19531953195,23000.0
PHX.TO,60041.70691068014,30377.0
ALS.TO,59615.47446808511,38545.0
CWX.NT.A.TO,59368.42105263158,15000.0
NWH.DB.D.TO,59224.964539007095,15000.0
HHL.TO,58971.525597269625,50702.0
CLR.TO,58833.53045822102,34496.0
SOLG.TO,58720.46287128713,23652.5
MSV.TO,58712.52012012012,33512.0
ITH.TO,58396.6393659181,17500.0
CIGI.TO,58341.20531914894,44990.0
PIF.TO,57809.690274841436,30346.0
ZAR.TO,57716.03643546971,38000.0
LUG.TO,57514.15090735435,31000.0
ZCN.TO,57455.013179571666,25930.5
GQM.TO,57087.159483701595,28000.0
BB.DB.V.TO,56414.58733205374,0.0
IN.WT.TO,56403.72189349112,16957.0
NOA.DB.TO,56372.34042553192,12000.0
TRZ.TO,56342.071863581,38150.0
HE.TO,56309.18900555899,16050.0
AIF.TO,55785.99883923389,30643.5
BGI.UN.TO,55533.76583629893,47534.0
TNT.UN.TO,55467.02175438596,31400.0
MAW.TO,55389.3271313524,24700.0
AFN.DB.C.TO,55300.936768149884,19000.0
E.TO,54913.21052631579,19400.0
IIP.UN.TO,54806.65576432382,11500.0
DNG.TO,54794.85323992995,32879.0
CCZ.TO,54582.921104972374,14300.0
AFN.DB.B.TO,54564.524033930255,10000.0
EPS.TO,54312.403533568904,15149.5
FOOD.TO,54072.881395348835,29937.5
PGI.UN.TO,53861.989482200646,42629.0
DII.B.TO,53747.888767003074,35300.0
IBG.DB.D.TO,53647.05882352941,16000.0
TF.DB.B.TO,53582.84600389864,20000.0
AVP.TO,53550.01739326858,5867.0
